Package,CurrentVersion,AvailableVersion,Pocket
libsqlite3-dev/noble-updates,noble-security,3.45.1-1ubuntu2.7,amd64,[upgradable
libssh-4/noble-updates,noble-security,0.10.6-2ubuntu0.4,amd64,[upgradable
libssl-dev/noble-updates,noble-security,3.0.13-0ubuntu3.11,amd64,[upgradable
libssl3t64/noble-updates,noble-security,3.0.13-0ubuntu3.11,amd64,[upgradable
libsystemd-shared/noble-updates,noble-security,255.4-1ubuntu8.16,amd64,[upgradable
libsystemd0/noble-updates,noble-security,255.4-1ubuntu8.16,amd64,[upgradable
libtiff6/noble-updates,noble-security,4.5.1+git230720-4ubuntu2.5,amd64,[upgradable
libtinfo6/noble-updates,noble-security,6.4+20240113-1ubuntu2.1,amd64,[upgradable
libudev1/noble-updates,noble-security,255.4-1ubuntu8.16,amd64,[upgradable
libunbound8/noble-updates,noble-security,1.19.2-1ubuntu3.8,amd64,[upgradable
libuuid1/noble-updates,noble-security,2.39.3-9ubuntu6.5,amd64,[upgradable
libxml2-dev/noble-updates,noble-security,2.9.14+dfsg-1.3ubuntu3.8,amd64,[upgradable
libxml2/noble-updates,noble-security,2.9.14+dfsg-1.3ubuntu3.8,amd64,[upgradable
libxmlb2/noble-updates,0.3.24-1~ubuntu0.24.04.1,amd64,[upgradable
linux-libc-dev/noble-updates,noble-security,6.8.0-136.136,amd64,[upgradable
mailcap/noble-updates,noble-security,3.70+nmu1ubuntu1.24.04.1,all,[upgradable
moby-buildx/noble,0.35.0-ubuntu24.04u1,amd64,[upgradable
moby-cli/noble,29.6.2-ubuntu24.04u1,amd64,[upgradable
moby-compose/noble,5.3.1-ubuntu24.04u1,amd64,[upgradable
moby-containerd/noble,2.3.3-ubuntu24.04u2,amd64,[upgradable
moby-engine/noble,29.6.2-ubuntu24.04u1,amd64,[upgradable
moby-runc/noble,1.5.1-ubuntu24.04u1,amd64,[upgradable
mount/noble-updates,noble-security,2.39.3-9ubuntu6.5,amd64,[upgradable
nano/noble-updates,noble-security,7.2-2ubuntu0.2,amd64,[upgradable
ncurses-base/noble-updates,noble-security,6.4+20240113-1ubuntu2.1,all,[upgradable
ncurses-bin/noble-updates,noble-security,6.4+20240113-1ubuntu2.1,amd64,[upgradable
openssh-client/noble-updates,noble-security,1:9.6p1-3ubuntu13.18,amd64,[upgradable
openssh-server/noble-updates,noble-security,1:9.6p1-3ubuntu13.18,amd64,[upgradable
openssh-sftp-server/noble-updates,noble-security,1:9.6p1-3ubuntu13.18,amd64,[upgradable
openssl/noble-updates,noble-security,3.0.13-0ubuntu3.11,amd64,[upgradable
packagekit/noble-updates,noble-security,1.2.8-2ubuntu1.5,amd64,[upgradable
perl-base/noble-updates,noble-security,5.38.2-3.2ubuntu0.3,amd64,[upgradable
perl-modules-5.38/noble-updates,noble-security,5.38.2-3.2ubuntu0.3,all,[upgradable
perl/noble-updates,noble-security,5.38.2-3.2ubuntu0.3,amd64,[upgradable
polkitd/noble-updates,noble-security,124-2ubuntu1.24.04.3,amd64,[upgradable
python3-cryptography/noble-updates,noble-security,41.0.7-4ubuntu0.4,amd64,[upgradable
python3-httplib2/noble-updates,noble-security,0.20.4-3ubuntu0.1,all,[upgradable
python3-jwt/noble-updates,noble-security,2.7.0-1ubuntu0.1,all,[upgradable
python3.12-dev/noble-updates,noble-security,3.12.3-1ubuntu0.15,amd64,[upgradable
python3.12-minimal/noble-updates,noble-security,3.12.3-1ubuntu0.15,amd64,[upgradable
python3.12/noble-updates,noble-security,3.12.3-1ubuntu0.15,amd64,[upgradable
rsync/noble-updates,noble-security,3.2.7-1ubuntu1.5,amd64,[upgradable
sed/noble-updates,noble-security,4.9-2ubuntu0.24.04.1,amd64,[upgradable
sqlite3/noble-updates,noble-security,3.45.1-1ubuntu2.7,amd64,[upgradable
sudo/noble-updates,noble-security,1.9.15p5-3ubuntu5.24.04.2,amd64,[upgradable
systemd-dev/noble-updates,noble-security,255.4-1ubuntu8.16,all,[upgradable
systemd-sysv/noble-updates,noble-security,255.4-1ubuntu8.16,amd64,[upgradable
systemd/noble-updates,noble-security,255.4-1ubuntu8.16,amd64,[upgradable
tar/noble-updates,noble-security,1.35+dfsg-3ubuntu0.3,amd64,[upgradable
tzdata/noble-updates,noble-security,2026b-0ubuntu0.24.04.1,all,[upgradable
